#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
cluster49.oracleGeneral.zst_799295267,1000000000.0,0.0416,0.0317,0.0357,0.0325,0.0619,0.097,0.0352,0.0311,0.0411,0.0323,0.0344,0.0147,0.0321,0.0328,0.0562,0.0309,0.0307,0.0317,0.6764,0.0738,0.0349,0.0319
cluster37.oracleGeneral.zst_3168270709,31000000000.0,0.2266,0.226,0.2257,0.2261,0.226,0.2261,0.2262,0.2257,0.2258,0.2257,0.2281,0.2254,0.2259,0.2259,0.2261,0.2257,0.2257,0.226,0.2288,0.2262,0.2257,0.2257
cluster31.oracleGeneral.zst_1341176720,13000000000.0,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,72000000.0,0.0035,0.002,0.002,0.002,0.0024,0.0029,0.0025,0.002,0.0031,0.002,0.0057,0.0012,0.0021,0.002,0.0027,0.002,0.002,0.0021,0.1049,0.0033,0.002,0.0021
cluster2.oracleGeneral.zst_7226679214,28000000.0,0.0019,0.0014,0.0015,0.0014,0.0016,0.003,0.0015,0.0014,0.0016,0.0015,0.0016,0.0007,0.0014,0.0014,0.0023,0.0013,0.0013,0.0014,0.1053,0.005,0.0014,0.0015
cluster33.oracleGeneral.zst_6705048996,364000000.0,0.024,0.02,0.0187,0.0198,0.0212,0.0227,0.0179,0.0177,0.0197,0.0175,0.0161,0.0091,0.0189,0.0176,0.0222,0.017,0.0173,0.019,0.0578,0.0211,0.017,0.0178
cluster13.oracleGeneral.zst_825381985,280000000000.0,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8429,0.8426,0.8426,0.8429,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426
cluster29.oracleGeneral.zst_6920247859,12000000000.0,0.0384,0.0359,0.0356,0.0359,0.0366,0.0358,0.0366,0.0352,0.0356,0.0352,0.0366,0.0334,0.0357,0.0353,0.0371,0.0352,0.035,0.0359,0.0377,0.0385,0.0351,0.0351
cluster40.oracleGeneral.zst_3847885075,2000000000.0,0.0032,0.003,0.0031,0.003,0.0031,0.0031,0.0031,0.003,0.003,0.0031,0.0053,0.0029,0.0031,0.003,0.0033,0.0031,0.003,0.003,0.0273,0.0033,0.0031,0.003
cluster53.oracleGeneral.zst_246508262,2000000000.0,0.0791,0.0648,0.0648,0.0647,0.0898,0.0656,0.0596,0.0603,0.0644,0.0605,0.06,0.0341,0.0632,0.0624,0.0768,0.0573,0.0585,0.0632,0.2504,0.0757,0.0595,0.0594
cluster1.oracleGeneral.zst_6461081324,2000000.0,0.001,0.0003,0.0003,0.0003,0.0004,0.0008,0.0004,0.0003,0.0008,0.0003,0.0003,0.0001,0.0003,0.0003,0.0007,0.0003,0.0003,0.0003,0.004,0.0265,0.0003,0.0003
