#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
cluster28.oracleGeneral.zst_5267932037,6204500.0,0.0204,0.0182,0.018,0.018,0.0182,0.0177,0.0166,0.0173,0.0195,0.0173,0.0213,0.0121,0.0181,0.0174,0.0197,0.0166,0.0166,0.0179,0.1129,0.0195,0.017,0.0166
cluster48.oracleGeneral.zst_1129939853,22297467.0,0.3698,0.3385,0.3522,0.3367,0.3757,0.3351,0.3458,0.3332,0.342,0.3395,0.3845,0.2397,0.3475,0.3388,0.3444,0.3369,0.3323,0.3516,0.6343,0.3831,0.3365,0.3325
cluster41.oracleGeneral.zst_3214344864,25186652.0,0.0897,0.0853,0.0882,0.0848,0.0856,0.0847,0.0905,0.0843,0.0859,0.0854,0.1108,0.0783,0.0865,0.0853,0.0862,0.0867,0.0846,0.0853,0.8252,0.0871,0.0923,0.0846
cluster51.oracleGeneral.zst_6322932555,499758.0,0.0064,0.0042,0.0047,0.0042,0.0038,0.0064,0.0041,0.0037,0.0079,0.0039,0.004,0.0019,0.0039,0.0038,0.0046,0.0036,0.0036,0.0037,0.4454,0.0089,0.0037,0.0037
cluster7.oracleGeneral.zst_1044513075,446218.0,0.1513,0.1354,0.1493,0.1327,0.1207,0.1232,0.1131,0.1382,0.1513,0.1353,0.1098,0.0709,0.1437,0.1336,0.1391,0.1203,0.122,0.134,0.3935,0.1324,0.133,0.1072
cluster3.oracleGeneral.zst_820307312,626908.0,0.0206,0.0167,0.0173,0.0167,0.0166,0.019,0.0172,0.0155,0.0207,0.0159,0.0197,0.0098,0.0164,0.0162,0.0174,0.0151,0.0154,0.0161,0.4502,0.0193,0.0157,0.0156
cluster46.oracleGeneral.zst_6610320613,115810922.0,0.1978,0.1936,0.1983,0.1912,0.1936,0.1902,0.1914,0.1895,0.1925,0.1941,0.1923,0.1752,0.1953,0.1936,0.192,0.1899,0.1904,0.1936,0.5239,0.1935,0.1946,0.1895
cluster30.oracleGeneral.zst_2554900851,1305576.0,0.0109,0.008,0.0094,0.0081,0.0077,0.0116,0.0096,0.0078,0.0127,0.0077,0.0108,0.0051,0.0079,0.0077,0.0084,0.0085,0.008,0.0077,0.2564,0.0102,0.0079,0.0089
cluster17.oracleGeneral.zst_9772999471,680931.0,0.0098,0.0051,0.0049,0.0049,0.0058,0.0043,0.0057,0.0055,0.006,0.0049,0.0044,0.0027,0.0064,0.0048,0.0072,0.0049,0.005,0.0064,0.0098,0.0072,0.0047,0.0049
cluster20.oracleGeneral.zst_3663259123,8957629.0,0.0458,0.0332,1.0,0.0327,0.0397,0.0378,0.0348,0.0366,0.0395,0.0349,0.0324,0.026,0.0399,0.0333,0.0403,0.0321,0.033,0.0411,0.0455,0.0399,0.0349,0.0329
