log_name, dram_ratio, miss_ratio, write_byte
w100.oracleGeneral.bin, 0.01, 0.7641, 0.0105
w39.oracleGeneral.bin, 0.01, 0.1565, 0.0485
w78.oracleGeneral.bin, 0.01, 0.6107, 0.0110
w87.oracleGeneral.bin, 0.01, 0.9059, 0.0973
w89.oracleGeneral.bin, 0.01, 0.4776, 0.0954
w75.oracleGeneral.bin, 0.01, 0.3561, 0.0325
w13.oracleGeneral.bin, 0.01, 0.8366, 0.0091
w29.oracleGeneral.bin, 0.01, 0.9541, 0.0215
w41.oracleGeneral.bin, 0.01, 0.1619, 0.0319
w74.oracleGeneral.bin, 0.01, 0.4214, 0.0632
w50.oracleGeneral.bin, 0.01, 0.9155, 0.0479
w25.oracleGeneral.bin, 0.01, 0.8899, 0.1215
w32.oracleGeneral.bin, 0.01, 0.7830, 0.0015
w81.oracleGeneral.bin, 0.01, 0.7873, 0.0026
w23.oracleGeneral.bin, 0.01, 0.7878, 0.0494
w69.oracleGeneral.bin, 0.01, 0.6701, 0.0356
w04.oracleGeneral.bin, 0.01, 0.5914, 0.0556
w101.oracleGeneral.bin, 0.01, 0.7619, 0.0105
w20.oracleGeneral.bin, 0.01, 0.7581, 0.0536
w43.oracleGeneral.bin, 0.01, 0.8277, 0.0228
w34.oracleGeneral.bin, 0.01, 0.8505, 0.0055
w83.oracleGeneral.bin, 0.01, 0.4861, 0.0050
w106.oracleGeneral.bin, 0.01, 0.3537, 0.0235
w93.oracleGeneral.bin, 0.01, 0.8831, 0.0001
w86.oracleGeneral.bin, 0.01, 0.9562, 1.1012
w03.oracleGeneral.bin, 0.01, 0.6951, 0.0472
w56.oracleGeneral.bin, 0.01, 0.5436, 0.0465
w24.oracleGeneral.bin, 0.01, 0.8128, 0.0274
w82.oracleGeneral.bin, 0.01, 0.6249, 0.6518
w103.oracleGeneral.bin, 0.01, 0.6051, 0.0519
w55.oracleGeneral.bin, 0.01, 0.8897, 0.0002
w28.oracleGeneral.bin, 0.01, 0.8665, 0.0000
w51.oracleGeneral.bin, 0.01, 0.5058, 0.0151
w53.oracleGeneral.bin, 0.01, 0.7143, 0.0708
w54.oracleGeneral.bin, 0.01, 0.8899, 0.0003
w94.oracleGeneral.bin, 0.01, 0.9870, 0.0004
w79.oracleGeneral.bin, 0.01, 0.9862, 0.0075
w104.oracleGeneral.bin, 0.01, 0.9294, 0.6473
w01.oracleGeneral.bin, 0.01, 0.9159, 0.0004
w67.oracleGeneral.bin, 0.01, 0.3576, 0.0414
w90.oracleGeneral.bin, 0.01, 0.8117, 0.0250
w22.oracleGeneral.bin, 0.01, 0.9141, 0.1316
w85.oracleGeneral.bin, 0.01, 0.9020, 0.0003
w71.oracleGeneral.bin, 0.01, 0.5034, 0.1002
w80.oracleGeneral.bin, 0.01, 0.8431, 0.0138
w64.oracleGeneral.bin, 0.01, 0.9183, 0.0032
w05.oracleGeneral.bin, 0.01, 0.8957, 0.0904
w70.oracleGeneral.bin, 0.01, 0.4881, 0.0977
w73.oracleGeneral.bin, 0.01, 0.6976, 0.0222
w42.oracleGeneral.bin, 0.01, 0.8569, 0.0899
w27.oracleGeneral.bin, 0.01, 0.9227, 0.0294
w02.oracleGeneral.bin, 0.01, 0.9450, 3.4249
w65.oracleGeneral.bin, 0.01, 0.9859, 0.0053
w57.oracleGeneral.bin, 0.01, 0.4632, 0.0532
w21.oracleGeneral.bin, 0.01, 0.9293, 0.2796
w47.oracleGeneral.bin, 0.01, 0.2203, 0.1675
w76.oracleGeneral.bin, 0.01, 0.4265, 0.0194
w18.oracleGeneral.bin, 0.01, 0.8514, 0.2079
w52.oracleGeneral.bin, 0.01, 0.5237, 0.0339
w10.oracleGeneral.bin, 0.01, 0.7995, 0.0719
w07.oracleGeneral.bin, 0.01, 0.7961, 0.0144
w45.oracleGeneral.bin, 0.01, 0.2340, 0.1668
w99.oracleGeneral.bin, 0.01, 0.6906, 0.8602
w48.oracleGeneral.bin, 0.01, 0.9494, 0.0060
w60.oracleGeneral.bin, 0.01, 0.8794, 0.1066
w61.oracleGeneral.bin, 0.01, 0.9672, 0.0525
w15.oracleGeneral.bin, 0.01, 0.9383, 0.0100
w19.oracleGeneral.bin, 0.01, 0.9077, 0.4896
w14.oracleGeneral.bin, 0.01, 0.6078, 0.0459
w37.oracleGeneral.bin, 0.01, 0.8227, 0.0170
w06.oracleGeneral.bin, 0.01, 0.4002, 0.0165
w26.oracleGeneral.bin, 0.01, 0.5525, 0.0063
w09.oracleGeneral.bin, 0.01, 0.6079, 0.0162
w84.oracleGeneral.bin, 0.01, 0.6305, 0.1136
w17.oracleGeneral.bin, 0.01, 0.7297, 0.0662
w62.oracleGeneral.bin, 0.01, 0.9378, 0.0042
w35.oracleGeneral.bin, 0.01, 0.3400, 0.0511
w95.oracleGeneral.bin, 0.01, 0.4987, 0.1385
w11.oracleGeneral.bin, 0.01, 0.9915, 0.0114
w66.oracleGeneral.bin, 0.01, 0.5914, 0.7503
w38.oracleGeneral.bin, 0.01, 0.8105, 0.1379
w36.oracleGeneral.bin, 0.01, 0.2569, 0.0767
w105.oracleGeneral.bin, 0.01, 0.8867, 0.0008
w12.oracleGeneral.bin, 0.01, 0.1080, 0.0278
w44.oracleGeneral.bin, 0.01, 0.9591, 0.1793
w08.oracleGeneral.bin, 0.01, 0.9832, 0.0651
w98.oracleGeneral.bin, 0.01, 0.7728, 0.0107
w91.oracleGeneral.bin, 0.01, 0.7770, 0.0023
w33.oracleGeneral.bin, 0.01, 0.3133, 0.0737
w59.oracleGeneral.bin, 0.01, 0.9806, 0.1432
w30.oracleGeneral.bin, 0.01, 0.9340, 0.0991
w40.oracleGeneral.bin, 0.01, 0.2109, 0.0642
w58.oracleGeneral.bin, 0.01, 0.6542, 0.0154
w63.oracleGeneral.bin, 0.001, 0.8691, 0.0354
w97.oracleGeneral.bin, 0.001, 0.8149, 0.0108
w31.oracleGeneral.bin, 0.001, 0.9571, 0.0001
w88.oracleGeneral.bin, 0.001, 0.5833, 0.2886
w49.oracleGeneral.bin, 0.001, 0.7327, 0.0235
w102.oracleGeneral.bin, 0.001, 0.6169, 0.0251
w46.oracleGeneral.bin, 0.001, 0.6938, 0.0068
w96.oracleGeneral.bin, 0.001, 0.9186, 0.0526
w77.oracleGeneral.bin, 0.001, 0.6594, 0.0396
w16.oracleGeneral.bin, 0.001, 0.9181, 0.1912
w72.oracleGeneral.bin, 0.001, 0.5656, 0.2401
w92.oracleGeneral.bin, 0.001, 0.8648, 0.0008
w68.oracleGeneral.bin, 0.001, 0.6425, 0.0709
w100.oracleGeneral.bin, 0.001, 0.8151, 0.0106
w39.oracleGeneral.bin, 0.001, 0.2475, 0.0486
w78.oracleGeneral.bin, 0.001, 0.6350, 0.0111
w87.oracleGeneral.bin, 0.001, 0.9340, 0.0989
w89.oracleGeneral.bin, 0.001, 0.5323, 0.0955
w75.oracleGeneral.bin, 0.001, 0.3733, 0.0326
w13.oracleGeneral.bin, 0.001, 0.8756, 0.0092
w29.oracleGeneral.bin, 0.001, 0.9775, 0.0216
w41.oracleGeneral.bin, 0.001, 0.2526, 0.0320
w74.oracleGeneral.bin, 0.001, 0.4964, 0.0633
w50.oracleGeneral.bin, 0.001, 0.9150, 0.0479
w25.oracleGeneral.bin, 0.001, 0.8927, 0.1216
w32.oracleGeneral.bin, 0.001, 0.7903, 0.0016
w81.oracleGeneral.bin, 0.001, 0.8026, 0.0027
w23.oracleGeneral.bin, 0.001, 0.7878, 0.0495
w69.oracleGeneral.bin, 0.001, 0.6815, 0.0356
w04.oracleGeneral.bin, 0.001, 0.6285, 0.0556
w101.oracleGeneral.bin, 0.001, 0.8069, 0.0106
w20.oracleGeneral.bin, 0.001, 0.7682, 0.0537
w43.oracleGeneral.bin, 0.001, 0.8663, 0.0230
w34.oracleGeneral.bin, 0.001, 0.8486, 0.0056
w83.oracleGeneral.bin, 0.001, 0.4988, 0.0051
w106.oracleGeneral.bin, 0.001, 0.4253, 0.0236
w93.oracleGeneral.bin, 0.001, 0.8943, 0.0002
w86.oracleGeneral.bin, 0.001, 0.9562, 1.1013
w03.oracleGeneral.bin, 0.001, 0.7048, 0.0473
w56.oracleGeneral.bin, 0.001, 0.6028, 0.0466
w24.oracleGeneral.bin, 0.001, 0.9168, 0.0275
w82.oracleGeneral.bin, 0.001, 0.6386, 0.6519
w103.oracleGeneral.bin, 0.001, 0.6885, 0.0519
w55.oracleGeneral.bin, 0.001, 0.9163, 0.0003
w28.oracleGeneral.bin, 0.001, 0.8840, 0.0000
w51.oracleGeneral.bin, 0.001, 0.5106, 0.0153
w53.oracleGeneral.bin, 0.001, 0.7225, 0.0709
w54.oracleGeneral.bin, 0.001, 0.8730, 0.0004
w94.oracleGeneral.bin, 0.001, 0.9880, 0.0006
w79.oracleGeneral.bin, 0.001, 0.9872, 0.0076
w104.oracleGeneral.bin, 0.001, 0.9352, 0.6473
w01.oracleGeneral.bin, 0.001, 0.9833, 0.0006
w67.oracleGeneral.bin, 0.001, 0.4322, 0.0416
w90.oracleGeneral.bin, 0.001, 0.8201, 0.0251
w22.oracleGeneral.bin, 0.001, 0.9239, 0.1317
w85.oracleGeneral.bin, 0.001, 0.8999, 0.0004
w71.oracleGeneral.bin, 0.001, 0.5230, 0.1003
w80.oracleGeneral.bin, 0.001, 0.8534, 0.0148
w64.oracleGeneral.bin, 0.001, 0.9360, 0.0033
w05.oracleGeneral.bin, 0.001, 0.9606, 0.0904
w70.oracleGeneral.bin, 0.001, 0.5832, 0.0978
w73.oracleGeneral.bin, 0.001, 0.7243, 0.0224
w42.oracleGeneral.bin, 0.001, 0.8827, 0.0900
w27.oracleGeneral.bin, 0.001, 0.9414, 0.0294
w02.oracleGeneral.bin, 0.001, 0.9469, 3.4250
w65.oracleGeneral.bin, 0.001, 0.9859, 0.0055
w57.oracleGeneral.bin, 0.001, 0.5098, 0.0533
w21.oracleGeneral.bin, 0.001, 0.9321, 0.2797
w47.oracleGeneral.bin, 0.001, 0.2969, 0.1677
w76.oracleGeneral.bin, 0.001, 0.4669, 0.0195
w18.oracleGeneral.bin, 0.001, 0.8719, 0.2080
w52.oracleGeneral.bin, 0.001, 0.5662, 0.0340
w10.oracleGeneral.bin, 0.001, 0.9208, 0.0720
w07.oracleGeneral.bin, 0.001, 0.8637, 0.0145
w45.oracleGeneral.bin, 0.001, 0.2936, 0.1678
w99.oracleGeneral.bin, 0.001, 0.6903, 0.8602
w48.oracleGeneral.bin, 0.001, 0.9516, 0.0061
w60.oracleGeneral.bin, 0.001, 0.8995, 0.1067
w61.oracleGeneral.bin, 0.001, 0.9678, 0.0560
w15.oracleGeneral.bin, 0.001, 0.9387, 0.0101
w19.oracleGeneral.bin, 0.001, 0.9072, 0.4897
w14.oracleGeneral.bin, 0.001, 0.6175, 0.0460
w37.oracleGeneral.bin, 0.001, 0.8668, 0.0172
w06.oracleGeneral.bin, 0.001, 0.4368, 0.0166
w26.oracleGeneral.bin, 0.001, 0.5690, 0.0064
w09.oracleGeneral.bin, 0.001, 0.6403, 0.0163
w84.oracleGeneral.bin, 0.001, 0.7181, 0.1138
w17.oracleGeneral.bin, 0.001, 0.7315, 0.0662
w62.oracleGeneral.bin, 0.001, 0.9394, 0.0043
w35.oracleGeneral.bin, 0.001, 0.3528, 0.0512
w95.oracleGeneral.bin, 0.001, 0.5345, 0.1386
w11.oracleGeneral.bin, 0.001, 0.9909, 0.0559
w66.oracleGeneral.bin, 0.001, 0.6078, 0.7504
w38.oracleGeneral.bin, 0.001, 0.8314, 0.1380
w36.oracleGeneral.bin, 0.001, 0.5170, 0.0768
w105.oracleGeneral.bin, 0.001, 0.8886, 0.0009
w12.oracleGeneral.bin, 0.001, 0.1691, 0.0278
w44.oracleGeneral.bin, 0.001, 0.9630, 0.1794
w08.oracleGeneral.bin, 0.001, 0.9867, 0.0652
w98.oracleGeneral.bin, 0.001, 0.8216, 0.0108
w91.oracleGeneral.bin, 0.001, 0.7888, 0.0023
w33.oracleGeneral.bin, 0.001, 0.5683, 0.0738
w59.oracleGeneral.bin, 0.001, 0.9806, 0.1432
w30.oracleGeneral.bin, 0.001, 0.9399, 0.1164
w40.oracleGeneral.bin, 0.001, 0.3697, 0.0644
w58.oracleGeneral.bin, 0.001, 0.7029, 0.0155
