log_name, dram_ratio, miss_ratio, write_byte
w37.oracleGeneral.bin, 0.01, 0.7061, 0.0158
w06.oracleGeneral.bin, 0.01, 0.2773, 0.0143
w26.oracleGeneral.bin, 0.01, 0.5373, 0.0054
w09.oracleGeneral.bin, 0.01, 0.5512, 0.0149
w84.oracleGeneral.bin, 0.01, 0.5060, 0.0299
w17.oracleGeneral.bin, 0.01, 0.5811, 0.0281
w62.oracleGeneral.bin, 0.01, 0.9375, 0.0033
w35.oracleGeneral.bin, 0.01, 0.2356, 0.0428
w95.oracleGeneral.bin, 0.01, 0.3758, 0.1008
w11.oracleGeneral.bin, 0.01, 0.9830, 0.0102
w66.oracleGeneral.bin, 0.01, 0.3484, 0.7217
w38.oracleGeneral.bin, 0.01, 0.5852, 0.1282
w36.oracleGeneral.bin, 0.01, 0.1607, 0.0656
w105.oracleGeneral.bin, 0.01, 0.8740, 0.0000
w12.oracleGeneral.bin, 0.01, 0.0537, 0.0180
w44.oracleGeneral.bin, 0.01, 0.9013, 0.1742
w08.oracleGeneral.bin, 0.01, 0.9408, 0.0642
w98.oracleGeneral.bin, 0.01, 0.7214, 0.0098
w91.oracleGeneral.bin, 0.01, 0.7636, 0.0013
w33.oracleGeneral.bin, 0.01, 0.1752, 0.0625
w59.oracleGeneral.bin, 0.01, 0.8336, 0.0897
w30.oracleGeneral.bin, 0.01, 0.7931, 0.0462
w40.oracleGeneral.bin, 0.01, 0.1365, 0.0563
w58.oracleGeneral.bin, 0.01, 0.5404, 0.0127
w63.oracleGeneral.bin, 0.001, 0.7727, 0.0259
w97.oracleGeneral.bin, 0.001, 0.7533, 0.0107
w31.oracleGeneral.bin, 0.001, 0.9444, 0.0000
w88.oracleGeneral.bin, 0.001, 0.4363, 0.1861
w49.oracleGeneral.bin, 0.001, 0.6735, 0.0228
w102.oracleGeneral.bin, 0.001, 0.3815, 0.0226
w46.oracleGeneral.bin, 0.001, 0.6643, 0.0067
w96.oracleGeneral.bin, 0.001, 0.8823, 0.0221
w77.oracleGeneral.bin, 0.001, 0.5955, 0.0350
w16.oracleGeneral.bin, 0.001, 0.7017, 0.1882
w72.oracleGeneral.bin, 0.001, 0.4323, 0.1504
