#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w101.oracleGeneral.bin.zst,701829,0.5532,0.4891,0.553,0.5456,0.5431,0.5599,0.5604,0.5411,0.5556,0.5487,0.5476,0.5423,0.549,0.5384,0.539,0.553,0.5393,0.5476,0.5501,0.5464,0.5553
w47.oracleGeneral.bin.zst,119285,0.0316,0.022,0.0333,0.033,0.033,0.0419,0.0399,0.0342,0.032,0.0361,0.0801,0.0284,0.0325,0.0308,0.0308,0.033,0.0328,0.0334,0.0327,0.0282,0.0329
w29.oracleGeneral.bin.zst,1962438,0.312,0.257,0.3185,0.3054,0.3559,0.3708,0.3603,0.3279,0.3522,0.3528,0.3287,0.3451,0.3299,0.3365,0.3324,0.3096,0.3052,0.3287,0.3447,0.3315,0.3194
w05.oracleGeneral.bin.zst,16551920,0.6019,0.5666,0.6038,0.6092,0.6053,0.6247,0.6088,0.6066,0.611,0.6034,0.6039,0.6166,0.6449,0.6166,0.6163,0.6016,0.6123,0.6039,0.62,0.6657,0.6242
w13.oracleGeneral.bin.zst,2224682,0.1586,0.1397,0.1598,0.1494,0.183,0.176,0.1791,0.1669,0.1672,0.1665,0.1581,0.1698,0.1516,0.1738,0.1567,0.161,0.1501,0.1581,0.1736,0.1556,0.1502
w21.oracleGeneral.bin.zst,1802940,0.5452,0.4298,0.5461,0.6303,0.7456,0.7447,0.6531,0.636,0.5504,0.7436,0.5732,0.5565,0.4614,0.7486,0.7319,0.5439,0.5757,0.5732,0.6478,0.5006,0.4879
w97.oracleGeneral.bin.zst,724235,0.5478,0.4805,0.5481,0.5412,0.5318,0.5587,0.555,0.5299,0.5473,0.5454,0.546,0.5384,0.5438,0.5285,0.5275,0.5479,0.5368,0.546,0.5478,0.5371,0.5507
w81.oracleGeneral.bin.zst,239873,0.5924,0.4431,0.5924,0.4717,0.6884,0.6907,0.6112,0.6728,0.6064,0.6735,0.597,0.5297,0.4562,0.6897,0.6872,0.5918,0.6564,0.597,0.6826,0.4578,0.4793
w37.oracleGeneral.bin.zst,2035030,0.3081,0.27,0.3081,0.2924,0.3529,0.3811,0.3554,0.3298,0.357,0.342,0.3123,0.3172,0.284,0.3579,0.354,0.3077,0.3245,0.3123,0.3629,0.2872,0.2963
w59.oracleGeneral.bin.zst,410042,0.1947,0.1177,0.1933,0.2,0.1889,0.2414,0.2308,0.2127,0.2519,0.2247,0.3739,0.2006,0.2104,0.1862,0.1877,0.1948,0.2018,0.29,0.2192,0.2339,0.2016
w75.oracleGeneral.bin.zst,162550,0.0732,0.066,0.0732,0.0762,0.0798,0.0944,0.0874,0.0749,0.0819,0.081,0.0729,0.0788,0.0759,0.0842,0.0787,0.074,0.0744,0.0729,0.0887,0.0776,0.0738
w63.oracleGeneral.bin.zst,1919100,0.5205,0.5115,0.5205,0.5273,0.5244,0.5441,0.5526,0.5229,0.553,0.5383,0.5206,0.5376,0.5495,0.5312,0.5269,0.5205,0.5252,0.5206,0.5409,0.5533,0.54
w69.oracleGeneral.bin.zst,531554,0.2122,0.1688,0.2119,0.222,0.2323,0.2732,0.255,0.2265,0.237,0.242,0.2169,0.2354,0.2099,0.2359,0.2223,0.2113,0.2252,0.2169,0.2457,0.2102,0.2114
w07.oracleGeneral.bin.zst,3801048,0.2048,0.1525,0.2074,0.1929,0.2408,0.2555,0.236,0.2153,0.2384,0.2288,0.1913,0.1917,0.2027,0.2484,0.2269,0.203,0.2062,0.1913,0.2445,0.1878,0.1962
w11.oracleGeneral.bin.zst,1057792,0.2014,0.1025,0.203,0.1984,0.1983,0.2329,0.2272,0.2089,0.2465,0.2107,0.4944,0.215,0.2263,0.1989,0.1932,0.2025,0.2067,0.3895,0.2117,0.4419,0.2103
w53.oracleGeneral.bin.zst,2139466,0.6351,0.596,0.6364,0.6783,0.6364,0.6383,0.6295,0.6316,0.6266,0.6334,0.6366,0.6245,0.6279,0.633,0.6325,0.635,0.6329,0.6366,0.6364,0.6224,0.6325
w103.oracleGeneral.bin.zst,172150,0.1475,0.125,0.1545,0.1483,0.1554,0.1575,0.1632,0.15,0.1671,0.1575,0.1412,0.1589,0.1505,0.1554,0.1546,0.1521,0.1438,0.1412,0.1562,0.1496,0.1466
w45.oracleGeneral.bin.zst,130731,0.0371,0.0241,0.041,0.0399,0.0389,0.0507,0.0478,0.0416,0.0408,0.0429,0.0845,0.0326,0.0367,0.0375,0.0371,0.0391,0.0388,0.0392,0.038,0.032,0.0388
w19.oracleGeneral.bin.zst,289204,0.075,0.0383,0.0766,0.0658,0.0809,0.0979,0.0857,0.0875,0.0824,0.0831,0.1103,0.0753,0.0652,0.0808,0.0761,0.0748,0.0743,0.0904,0.0779,0.066,0.0766
w77.oracleGeneral.bin.zst,425326,0.2282,0.1893,0.2297,0.2615,0.2375,0.2715,0.2673,0.2266,0.25,0.2406,0.2378,0.2439,0.2237,0.263,0.2352,0.23,0.2341,0.2219,0.2487,0.234,0.225
w61.oracleGeneral.bin.zst,418586,0.2632,0.1399,0.2585,0.2801,0.2691,0.3248,0.2722,0.2451,0.2573,0.2667,0.2788,0.2463,0.2238,0.2964,0.2469,0.2403,0.2391,0.2421,0.2705,0.2331,0.2347
w95.oracleGeneral.bin.zst,166398,0.1498,0.1088,0.1625,0.1499,0.178,0.1716,0.1753,0.1775,0.1665,0.1774,0.1698,0.1673,0.1385,0.181,0.1783,0.1573,0.1551,0.1698,0.1681,0.1413,0.1546
w23.oracleGeneral.bin.zst,1138256,0.2266,0.1381,0.2273,0.2379,0.2342,0.2867,0.2476,0.2354,0.2409,0.2362,0.2315,0.2465,0.2235,0.2486,0.2421,0.2213,0.2279,0.2315,0.2374,0.2296,0.2205
w35.oracleGeneral.bin.zst,242540,0.0512,0.0393,0.0514,0.0528,0.0512,0.0563,0.0549,0.0538,0.0526,0.0548,0.0595,0.0526,0.0524,0.0507,0.0507,0.0517,0.0527,0.0552,0.0535,0.054,0.0536
w83.oracleGeneral.bin.zst,296646,0.2959,0.2496,0.2962,0.3467,0.3388,0.3406,0.3281,0.3251,0.3238,0.3202,0.3088,0.3112,0.2853,0.3384,0.3245,0.3201,0.3405,0.2967,0.3387,0.3134,0.3027
w93.oracleGeneral.bin.zst,427598,0.3478,0.319,0.3479,0.3974,0.4296,0.4513,0.4711,0.4198,0.4771,0.4619,0.3484,0.4799,0.3584,0.4282,0.4249,0.3475,0.3988,0.3484,0.4438,0.3601,0.352
w25.oracleGeneral.bin.zst,1469345,0.1497,0.1383,0.1529,0.1519,0.1429,0.1632,0.1643,0.1414,0.1604,0.1431,0.1676,0.1436,0.1769,0.1418,0.1416,0.1557,0.1412,0.1676,0.1547,0.178,0.1552
w33.oracleGeneral.bin.zst,578628,0.1039,0.0742,0.1046,0.1103,0.1056,0.1117,0.1082,0.1041,0.1032,0.108,0.199,0.0966,0.1053,0.1011,0.1009,0.1053,0.1037,0.1055,0.1054,0.0918,0.1036
w85.oracleGeneral.bin.zst,276249,0.7583,0.4502,0.7583,0.7923,0.784,0.8008,0.6457,0.7766,0.6636,0.7688,0.7585,0.5901,0.4666,0.7936,0.7822,0.758,0.7758,0.7585,0.7842,0.483,0.4984
w71.oracleGeneral.bin.zst,269333,0.109,0.0984,0.109,0.1122,0.1285,0.1356,0.1346,0.1152,0.1338,0.1232,0.109,0.1119,0.1052,0.1282,0.1213,0.1103,0.1105,0.109,0.1295,0.1033,0.1099
w09.oracleGeneral.bin.zst,5946988,0.3085,0.2996,0.3088,0.3109,0.3295,0.3517,0.345,0.3169,0.3346,0.3519,0.3566,0.3116,0.3067,0.339,0.3151,0.3087,0.3221,0.3104,0.3509,0.3072,0.3087
w67.oracleGeneral.bin.zst,130146,0.0521,0.0372,0.0525,0.0523,0.0613,0.0741,0.067,0.0579,0.0632,0.0652,0.0776,0.0543,0.0508,0.0584,0.0513,0.0549,0.0546,0.0564,0.0595,0.0564,0.0549
w105.oracleGeneral.bin.zst,261650,0.4527,0.2546,0.4764,0.3139,0.5536,0.6381,0.4697,0.5413,0.4809,0.512,0.5257,0.4965,0.3065,0.5825,0.574,0.4306,0.4351,0.5257,0.4474,0.3089,0.3917
w55.oracleGeneral.bin.zst,2912687,0.8259,0.8223,0.8259,0.8265,0.8275,0.83,0.8407,0.8265,0.8407,0.8335,0.8259,0.8437,0.8275,0.8296,0.8289,0.8258,0.8277,0.8259,0.8294,0.8258,0.8261
w43.oracleGeneral.bin.zst,1489033,0.2756,0.2384,0.2745,0.2976,0.2937,0.3335,0.3196,0.2765,0.2947,0.3023,0.2785,0.2888,0.2983,0.2961,0.2853,0.2742,0.2746,0.2785,0.3071,0.3196,0.288
w01.oracleGeneral.bin.zst,49121605,0.7556,0.5691,0.7558,0.6446,0.7674,0.7706,0.7162,0.7679,0.7369,0.7536,0.7559,0.6223,0.6255,0.7779,0.7778,0.7555,0.7705,0.7559,0.7698,0.6461,0.6429
w79.oracleGeneral.bin.zst,1846329,0.8811,0.853,0.8811,0.8715,0.8812,0.8923,0.8741,0.8812,0.8756,0.8776,0.8811,0.8812,0.8558,0.8818,0.8818,0.8811,0.8829,0.8811,0.888,0.8562,0.8583
w17.oracleGeneral.bin.zst,1092571,0.1034,0.087,0.1036,0.1068,0.1049,0.1164,0.1125,0.1031,0.1102,0.1056,0.1038,0.1049,0.1072,0.1056,0.1048,0.1034,0.1035,0.1038,0.1116,0.1083,0.1047
w73.oracleGeneral.bin.zst,240490,0.1646,0.1068,0.1666,0.156,0.18,0.1885,0.1877,0.1741,0.1779,0.182,0.1707,0.1699,0.1583,0.1598,0.1618,0.1638,0.1611,0.1638,0.181,0.1444,0.1628
w65.oracleGeneral.bin.zst,911353,0.9352,0.3798,0.9352,0.887,0.9496,0.9674,0.6591,0.9405,0.5855,0.8389,0.9352,0.5692,0.3938,0.9616,0.9613,0.6172,0.6201,0.9352,0.6859,0.3935,0.5461
w27.oracleGeneral.bin.zst,1732030,0.2547,0.222,0.2641,0.274,0.2805,0.3072,0.302,0.2862,0.3083,0.2933,0.3277,0.2986,0.2819,0.2921,0.2841,0.261,0.2806,0.2764,0.3037,0.3109,0.2736
w49.oracleGeneral.bin.zst,637892,0.3477,0.1673,0.343,0.2071,0.4052,0.5087,0.3462,0.3726,0.3267,0.3689,0.3282,0.3297,0.222,0.4497,0.4363,0.3071,0.3054,0.3282,0.3517,0.2112,0.284
w91.oracleGeneral.bin.zst,233708,0.1839,0.1386,0.1833,0.1778,0.2233,0.2501,0.237,0.2096,0.2581,0.2355,0.1925,0.211,0.1781,0.2267,0.2031,0.1841,0.2032,0.1925,0.2302,0.1762,0.1817
w87.oracleGeneral.bin.zst,875345,0.6244,0.5776,0.6244,0.6266,0.627,0.6561,0.6358,0.6284,0.6372,0.6307,0.6244,0.6463,0.616,0.6332,0.6316,0.6266,0.6328,0.6244,0.6543,0.6187,0.6222
w31.oracleGeneral.bin.zst,5162548,0.6488,0.6097,0.6489,0.6327,0.6526,0.6725,0.6628,0.6502,0.6624,0.6497,0.6489,0.6504,0.6314,0.6584,0.6543,0.6489,0.6562,0.6489,0.6727,0.6379,0.6367
w03.oracleGeneral.bin.zst,11140954,0.353,0.3288,0.3543,0.4173,0.3797,0.4117,0.3867,0.3549,0.3693,0.3814,0.4082,0.3493,0.3445,0.3748,0.3586,0.3542,0.3674,0.3698,0.3883,0.3463,0.3582
w15.oracleGeneral.bin.zst,2223504,0.7565,0.4491,0.7079,0.6703,0.7797,0.7854,0.6825,0.7553,0.6511,0.7776,0.6796,0.6286,0.5803,0.807,0.7768,0.6453,0.6532,0.6796,0.6687,0.5679,0.5999
w57.oracleGeneral.bin.zst,183328,0.0663,0.0447,0.0679,0.0672,0.0711,0.0954,0.0821,0.0671,0.0758,0.0726,0.1176,0.0674,0.064,0.0711,0.0657,0.0645,0.0634,0.0666,0.0728,0.0599,0.0638
w39.oracleGeneral.bin.zst,243302,0.0547,0.0385,0.0564,0.0596,0.0564,0.0619,0.0588,0.0549,0.0548,0.0576,0.1261,0.0487,0.0548,0.0528,0.0533,0.0543,0.0548,0.0554,0.0554,0.0475,0.0542
w99.oracleGeneral.bin.zst,174877,0.5947,0.3957,0.5949,0.5536,0.6279,0.6396,0.5451,0.6211,0.528,0.6192,0.5976,0.5111,0.4121,0.6387,0.631,0.5924,0.6173,0.5976,0.6222,0.4251,0.4296
w41.oracleGeneral.bin.zst,273984,0.0459,0.0403,0.0461,0.0472,0.0468,0.0545,0.0517,0.0467,0.0475,0.0503,0.0796,0.0441,0.0458,0.0454,0.0457,0.0462,0.0468,0.0464,0.0496,0.0447,0.0462
