#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w70.oracleGeneral.bin.zst_6928385,101380.0,0.1571,0.1388,0.1372,0.1361,0.1267,0.1408,0.1325,0.1414,0.1487,0.1366,0.1354,0.0853,0.1409,0.1432,0.1511,0.1328,0.1333,0.1383,0.3119,0.137,0.1364,0.1336
w94.oracleGeneral.bin.zst_4118188,158032.0,0.3781,0.2893,0.331,0.285,0.3376,0.3163,0.3139,0.3302,0.3505,0.3314,0.3537,0.2246,0.3402,0.3164,0.3596,0.2918,0.2869,0.3419,0.336,0.3544,0.3115,0.3049
w105.oracleGeneral.bin.zst_3375344,130825.0,0.6883,0.5499,0.6082,0.5523,0.6446,0.638,0.6026,0.5674,0.6718,0.6682,0.5288,0.4451,0.6667,0.5142,0.6549,0.5697,0.5458,0.6776,0.5982,0.6641,0.5982,0.5233
w35.oracleGeneral.bin.zst_15415663,121270.0,0.0767,0.0634,0.0647,0.0637,0.0674,0.0704,0.067,0.0681,0.0717,0.0656,0.0687,0.0444,0.0659,0.0659,0.0718,0.0649,0.0649,0.066,0.1046,0.0687,0.067,0.0659
w19.oracleGeneral.bin.zst_31116216,144602.0,0.1798,0.1213,0.1238,0.1191,0.1197,0.1195,0.1185,0.1154,0.1263,0.1245,0.1214,0.0791,0.1244,0.1177,0.1649,0.1152,0.1145,0.1284,0.3295,0.1655,0.2258,0.1177
w75.oracleGeneral.bin.zst_6152624,81275.0,0.1378,0.1067,0.1194,0.107,0.1138,0.1144,0.1127,0.1087,0.1219,0.1172,0.1034,0.0747,0.1188,0.1024,0.1272,0.1077,0.1067,0.1229,0.1479,0.1196,0.1081,0.1076
w50.oracleGeneral.bin.zst_13448032,246076.0,0.4803,0.2324,0.2932,0.2322,0.274,0.2701,0.2889,0.2627,0.3575,0.2987,0.24,0.1993,0.3514,0.2278,0.4313,0.2447,0.2421,0.3539,0.2523,0.3877,0.2523,0.24
w97.oracleGeneral.bin.zst_3768450,362117.0,0.6603,0.6268,0.6504,0.6275,0.6046,0.6336,0.6244,0.6213,0.6334,0.6451,0.5801,0.4805,0.6397,0.5896,0.6235,0.6119,0.6082,0.6457,0.6308,0.6108,0.6308,0.5924
w83.oracleGeneral.bin.zst_3880481,148323.0,0.3887,0.3526,0.3639,0.3512,0.3702,0.3664,0.3788,0.3605,0.3774,0.3729,0.3669,0.2878,0.3792,0.3559,0.3915,0.3564,0.3503,0.3726,0.4918,0.3795,0.3659,0.3555
w81.oracleGeneral.bin.zst_5026619,119936.0,0.7027,0.6157,0.6473,0.6151,0.63,0.6962,0.6773,0.6134,0.6954,0.6974,0.5965,0.5624,0.7034,0.5823,0.6959,0.6442,0.6196,0.7058,0.6414,0.6807,0.6414,0.5981
w63.oracleGeneral.bin.zst_9380316,959550.0,0.6201,0.5784,0.5887,0.5786,0.5836,0.586,0.6133,0.577,0.5937,0.5895,0.5938,0.5115,0.5892,0.586,0.5992,0.596,0.5779,0.59,0.579,0.5938,0.579,0.5745
w86.oracleGeneral.bin.zst_4749563,861115.0,0.9279,0.9176,0.9216,0.9176,0.9266,0.9249,0.9273,0.9135,0.9256,0.9262,0.9109,0.9065,0.9255,0.9102,0.9255,0.9213,0.9175,0.9262,0.9176,0.9252,0.9176,0.9101
w60.oracleGeneral.bin.zst_9898835,285926.0,0.792,0.6877,0.7012,0.6884,0.6944,0.765,0.7282,0.6743,0.7743,0.7889,0.6438,0.5625,0.7847,0.6201,0.7583,0.6853,0.6651,0.7895,0.7152,0.7066,0.7152,0.6332
w30.oracleGeneral.bin.zst_21390010,230801.0,0.172,0.1431,0.1374,0.1433,0.1378,0.1829,0.1461,0.1354,0.1902,0.1357,0.1818,0.0729,0.1398,0.1446,0.1687,0.1385,0.1356,0.1425,0.6084,0.1789,0.4754,0.1496
w102.oracleGeneral.bin.zst_3558215,65030.0,0.1707,0.1451,0.2909,0.1445,0.1393,0.171,0.1332,0.157,0.1751,0.1522,0.1265,0.0967,0.1591,0.1349,0.1723,0.1421,0.1432,0.1565,0.4303,0.1539,0.15,0.145
w78.oracleGeneral.bin.zst_5493106,162760.0,0.3276,0.3183,0.3066,0.3147,0.3098,0.3223,0.3084,0.2859,0.3253,0.3251,0.2801,0.1992,0.3226,0.2843,0.3211,0.2984,0.304,0.3316,0.3203,0.3094,0.3203,0.3128
w18.oracleGeneral.bin.zst_22466283,735124.0,0.6019,0.5402,0.5419,0.5416,0.5465,0.5886,0.5111,0.5029,0.588,0.6022,0.498,0.3894,0.6039,0.4832,0.5588,0.4971,0.4974,0.6048,0.5641,0.5377,0.5641,0.4791
w99.oracleGeneral.bin.zst_3660840,87438.0,0.6442,0.6052,0.538,0.6053,0.6152,0.6348,0.6385,0.5603,0.6399,0.639,0.5444,0.5151,0.6435,0.5339,0.6306,0.6242,0.5995,0.6437,0.6065,0.6147,0.6065,0.5443
w03.oracleGeneral.bin.zst_84712978,5570477.0,0.5022,0.433,0.4853,0.4363,0.42,0.4927,0.4269,0.4766,0.4908,0.5,0.3823,0.3288,0.5076,0.4412,0.4815,0.4001,0.4358,0.5012,0.6012,0.4777,0.5006,0.4408
w42.oracleGeneral.bin.zst_16894445,490383.0,0.6523,0.5422,0.5483,0.5432,0.6157,0.6132,0.5975,0.5556,0.6341,0.6415,0.5517,0.4429,0.6401,0.5294,0.6278,0.5628,0.5414,0.6419,0.5906,0.6096,0.568,0.5349
w44.oracleGeneral.bin.zst_12116074,365097.0,0.8744,0.8316,0.7137,0.8319,0.803,0.8641,0.8624,0.777,0.863,0.8688,0.778,0.6798,0.868,0.755,0.8515,0.8491,0.8295,0.8689,0.8342,0.8003,0.8342,0.7596
