#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w71.oracleGeneral.bin.zst_6840776,703000000.0,0.4849,0.4184,0.3682,0.3969,0.4854,0.4643,0.4193,0.4005,0.4761,0.4354,0.3388,0.2771,0.4561,0.3788,0.4878,0.3745,0.3787,0.4588,0.3511,0.4886,0.3821,0.3799
w20.oracleGeneral.bin.zst_29842317,106000000000.0,0.9144,0.8831,0.8934,0.8831,0.9245,0.9107,0.8968,0.851,0.9085,0.9094,0.818,0.7349,0.9131,0.8139,0.9087,0.88,0.8802,0.9123,0.8904,0.9213,0.8904,0.8194
w93.oracleGeneral.bin.zst_3351357,3196000000.0,0.9162,0.8948,0.8152,0.8931,0.9086,0.8985,0.876,0.8328,0.9133,0.9158,0.8187,0.6981,0.9153,0.8062,0.9113,0.8215,0.8169,0.9158,0.8798,0.9027,0.8798,0.8078
w15.oracleGeneral.bin.zst_33628757,6000000000.0,0.9333,0.9163,0.8547,0.8967,0.8549,0.9062,0.9205,0.8448,0.9266,0.9185,0.8052,0.7306,0.9294,0.8351,0.9048,0.8581,0.8526,0.93,0.8716,0.8863,0.8716,0.8383
w21.oracleGeneral.bin.zst_29416348,37000000000.0,0.9836,0.9548,0.8653,0.9532,0.9399,0.9809,0.9742,0.9203,0.9798,0.9833,0.909,0.8294,0.9832,0.9002,0.9651,0.9303,0.9283,0.9834,0.9668,0.9178,0.9668,0.9035
w02.oracleGeneral.bin.zst_122181000,2001000000.0,0.9912,0.9915,0.5534,0.9905,0.4132,0.7202,0.8219,0.4883,0.9237,0.9906,0.4224,0.2976,0.992,0.3277,0.5728,0.7097,0.7097,0.9926,0.4457,0.6995,0.444,0.5837
w26.oracleGeneral.bin.zst_26532121,14000000000.0,0.5301,0.4405,0.4381,0.4453,0.5918,0.4928,0.4409,0.4385,0.4836,0.4839,0.4363,0.3137,0.4842,0.4332,0.5098,0.4274,0.4314,0.4969,0.5201,0.5477,0.4387,0.435
w64.oracleGeneral.bin.zst_7458266,39000000000.0,0.9443,0.938,0.939,0.938,0.9397,0.9385,0.9441,0.9382,0.9382,0.9441,0.9486,0.9077,0.9422,0.936,0.9365,0.94,0.938,0.9441,0.938,0.9375,0.938,0.9381
w39.oracleGeneral.bin.zst_17920022,585000000.0,0.1216,0.107,0.1022,0.1069,0.1297,0.1394,0.0934,0.1127,0.1253,0.1135,0.0838,0.0632,0.1168,0.1021,0.1352,0.0944,0.0973,0.1136,0.1445,0.1465,0.0994,0.099
w32.oracleGeneral.bin.zst_20776392,4000000000.0,0.4663,0.4639,0.4155,0.4619,0.4583,0.4213,0.4095,0.4672,0.4764,0.4381,0.3637,0.3212,0.4482,0.4534,0.465,0.4091,0.4436,0.4426,0.5315,0.4526,0.4962,0.4333
w24.oracleGeneral.bin.zst_27165370,9000000000.0,0.6942,0.6686,0.6553,0.6683,0.7068,0.6734,0.6577,0.6535,0.6864,0.6857,0.6644,0.4954,0.685,0.6675,0.6867,0.654,0.6503,0.6879,0.6682,0.6881,0.6659,0.6553
w59.oracleGeneral.bin.zst_10223136,1055000000.0,0.5677,0.5182,0.508,0.5113,0.7617,0.595,0.5196,0.5288,0.5331,0.5207,0.5652,0.3192,0.52,0.5141,0.5646,0.5132,0.5072,0.5278,0.7779,0.6921,0.6419,0.515
w106.oracleGeneral.bin.zst_3275919,450000000.0,0.2695,0.2348,0.2243,0.2296,0.3209,0.2474,0.2189,0.2515,0.2437,0.2379,0.2148,0.171,0.2347,0.2258,0.2627,0.2197,0.2205,0.2404,0.2604,0.2865,0.2836,0.2204
w17.oracleGeneral.bin.zst_31398089,4000000000.0,0.2273,0.2086,0.2025,0.2065,0.2716,0.2241,0.2082,0.1978,0.2129,0.2095,0.2214,0.149,0.2134,0.2136,0.2205,0.2005,0.194,0.2171,0.3475,0.2335,0.2066,0.1999
