#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w42.oracleGeneral.bin.zst,11811160064,0.4784,0.2699,0.4711,0.436,0.4603,0.4705,0.4689,0.4696,0.469,0.4485,0.495,0.5334,0.4537,0.4696,0.4581,0.4356,0.4433,0.4618,0.422,0.4598,0.4481
w104.oracleGeneral.bin.zst,9663676416,0.8349,0.7857,0.8349,0.8588,0.8399,0.847,0.8601,0.8677,0.8728,0.842,0.8349,0.858,0.8928,0.8404,0.8396,0.8348,0.8388,0.8349,0.8464,0.8427,0.8804
w54.oracleGeneral.bin.zst,552977039360,0.9698,0.9566,0.9698,0.9664,0.9705,0.9719,0.9684,0.9698,0.9683,0.9689,0.9698,0.9676,0.9717,0.9712,0.9712,0.9683,0.9687,0.9698,0.9696,0.9713,0.9707
w16.oracleGeneral.bin.zst,18253611008,0.5555,0.465,0.5614,0.547,0.6139,0.6352,0.6275,0.6308,0.5806,0.6058,0.572,0.7075,0.529,0.6238,0.6108,0.5546,0.5659,0.572,0.5995,0.5228,0.5448
w78.oracleGeneral.bin.zst,6442450944,0.3819,0.2429,0.3888,0.3583,0.3766,0.3536,0.3835,0.3977,0.4433,0.3746,0.4488,0.5319,0.397,0.3618,0.3587,0.3769,0.3732,0.4488,0.3677,0.4539,0.3885
w32.oracleGeneral.bin.zst,8589934592,0.4168,0.2887,0.4076,0.3624,0.3925,0.3958,0.4024,0.355,0.3652,0.3945,0.4769,0.3739,0.4133,0.3866,0.3954,0.3737,0.3469,0.3886,0.3683,0.3063,0.3476
w84.oracleGeneral.bin.zst,4294967296,0.2055,0.1614,0.2055,0.212,0.221,0.2339,0.2245,0.211,0.22,0.222,0.2421,0.2603,0.2132,0.2235,0.2183,0.2042,0.2036,0.2142,0.2127,0.2271,0.2051
w92.oracleGeneral.bin.zst,4294967296,0.9445,0.7928,0.9445,0.8487,0.9566,0.957,0.9427,0.9304,0.8718,0.9565,0.9447,0.8593,0.8037,0.9569,0.9569,0.9443,0.9523,0.9447,0.9568,0.8165,0.815
w24.oracleGeneral.bin.zst,19327352832,0.5869,0.3955,0.5791,0.5729,0.6231,0.6271,0.6083,0.6129,0.6274,0.6183,0.5515,0.6435,0.5699,0.6202,0.6218,0.5575,0.556,0.5515,0.5906,0.5705,0.5626
w66.oracleGeneral.bin.zst,590348288,0.7072,0.1385,0.6868,0.2205,0.6862,0.727,0.3838,0.3051,0.4565,0.5859,0.6359,0.3426,0.197,0.707,0.7041,0.3836,0.3796,0.6359,0.4734,0.234,0.3678
